Keuwl Accelerometer Data File
2016-06-30 22-22-06

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.4257242,-0.356858,5.130132,9.575289,10.868843,28.238577,93.979149
0.4282715,-0.361648,5.151687,9.505833,10.818111,28.514523,94.015572
0.4307899,-0.342488,5.106182,9.532178,10.819095,28.230551,93.837265
0.4333125,-0.282612,5.067862,9.575289,10.837400,27.927479,93.191826
0.4358411,-0.280217,5.087022,9.479487,10.761830,28.255730,93.152939
0.4383269,-0.368833,5.142107,9.472302,10.784331,28.557316,94.102684
0.4407775,-0.282612,5.218748,9.527389,10.866754,28.747644,93.099724
0.4432974,-0.359253,5.178032,9.479487,10.807487,28.702848,93.968834
0.4458038,-0.308958,5.235513,9.307046,10.683031,29.401728,93.377213
0.4483376,-0.313748,5.333709,9.381292,10.796089,29.662823,93.366463
0.4508834,-0.273032,5.225933,9.357342,10.721230,29.215952,92.990738
0.4534752,-0.299377,5.369634,9.297466,10.740832,30.046564,93.191154
0.4560221,-0.285007,5.398374,9.273516,10.734140,30.239571,93.022125
0.4585704,-0.241897,5.355264,9.115445,10.574909,30.459465,92.586288
0.4610901,-0.306563,5.302574,9.163345,10.591419,30.098230,93.308807
0.4636084,-0.184417,5.273833,9.160950,10.572148,29.943584,92.002716
0.4661234,-0.246687,5.269043,9.249566,10.647918,29.695124,92.680527
0.4686418,-0.364043,5.185217,9.235196,10.597540,29.372755,94.016022
0.4710949,-0.349673,5.245093,9.170530,10.570331,29.822212,93.814072
0.4735905,-0.227527,5.118157,9.180110,10.512931,29.164898,92.545403
0.4761275,-0.268242,5.089417,9.086704,10.418364,29.286854,93.017036
0.4786598,-0.306563,5.144502,9.081915,10.442273,29.573206,93.410240
0.4812008,-0.292192,5.070257,9.148975,10.464064,29.035002,93.298233
0.4837710,-0.285007,5.000801,9.115445,10.400990,28.788694,93.261894
0.4863022,-0.220342,5.182823,9.038804,10.421621,29.852160,92.434402
0.4888211,-0.292192,5.072651,9.074729,10.400379,29.245045,93.296684
0.4913582,-0.213157,5.051096,9.060359,10.375409,29.161093,92.416451
0.4938610,-0.268242,5.091812,8.851993,10.215492,29.942551,93.015617
0.4963409,-0.158071,5.168452,8.911868,10.303363,30.123289,91.751778
0.4988604,-0.280217,5.132527,8.880733,10.261031,30.062269,93.125038
0.5013805,-0.141306,5.077442,8.868757,10.220335,29.801088,91.594139
0.5039033,-0.143701,5.132527,8.868757,10.247846,30.068560,91.603760
0.5064538,-0.184417,5.149292,8.895103,10.279692,30.082073,92.051109
0.5089702,-0.234712,5.154082,8.899893,10.287261,30.101616,92.607391
0.5115537,-0.332908,5.113367,8.902288,10.271713,29.924900,93.725006
0.5140973,-0.349673,5.192402,8.950189,10.353221,30.176224,93.852661
0.5166321,-0.316143,5.118157,9.057964,10.408755,29.515146,93.534599
0.5191506,-0.402363,5.178032,9.122630,10.497442,29.653465,94.443291
0.5216839,-0.419128,5.175637,9.129815,10.503162,29.629047,94.629768
0.5242219,-0.376018,5.146897,9.251961,10.593900,29.152163,94.178444
0.5267231,-0.541274,5.190008,9.319021,10.680511,29.246506,95.953949
0.5292441,-0.531694,5.151687,9.275911,10.623799,29.176086,95.892509
0.5317289,-0.531694,5.127737,9.450747,10.765362,28.611748,95.919838
0.5342414,-0.555645,5.194798,9.400452,10.754681,29.063713,96.105247
0.5367789,-0.625100,5.225933,9.429193,10.798648,29.169374,96.821030
0.5392986,-0.754431,5.252278,9.433982,10.823844,29.355762,98.173988
0.5417958,-0.740061,5.261858,9.431587,10.825418,29.396399,98.005928
0.5443058,-0.910107,5.247488,9.527389,10.914924,29.205265,99.839317
0.5468235,-0.804727,5.211563,9.491463,10.857985,29.055943,98.777817
0.5493475,-0.855022,5.312153,9.316627,10.758698,30.007227,99.143669
0.5518678,-0.890947,5.182823,9.438772,10.804900,29.124514,99.754028
0.5543885,-0.888552,5.242698,9.467513,10.858601,29.320898,99.619293
0.5568939,-1.034649,5.245093,9.493857,10.895634,29.384672,101.158920
0.5593575,-0.950823,5.242698,9.414823,10.817986,29.507242,100.279503
0.5618051,-0.895737,5.142107,9.465117,10.808888,28.874554,99.881577
0.5643251,-0.950823,5.019961,9.359736,10.663430,28.628874,100.725250
0.5668115,-0.922083,5.043911,9.378897,10.689013,28.665709,100.359901
0.5693415,-0.857417,5.029541,9.438772,10.729486,28.393322,99.674561
0.5718612,-0.787961,4.936135,9.400452,10.646821,28.001532,99.069679
0.5744790,-0.759221,4.986431,9.381292,10.651270,28.264912,98.657219
0.5770248,-0.747246,4.876260,9.354947,10.575978,27.804203,98.712326
0.5795677,-0.807122,4.952900,9.477093,10.723710,27.901751,99.255531
0.5820885,-0.866997,4.854705,9.350157,10.570964,27.808325,100.125648
0.5846190,-0.708926,4.988826,9.515413,10.767267,27.903721,98.087738
0.5871486,-0.871787,4.909790,9.448353,10.683512,27.823893,100.068558
0.5896711,-0.948428,5.003196,9.457932,10.741693,28.298708,100.733879
0.5921922,-0.876577,5.012776,9.467513,10.748493,28.258276,99.918945
0.5946462,-0.958008,5.010381,9.383687,10.680603,28.529327,100.824562
0.5971554,-0.991538,5.108577,9.326206,10.679832,29.160994,100.984131
0.5996912,-1.123264,5.144502,9.302257,10.689228,29.512775,102.316811
0.6022529,-1.044229,5.101392,9.266331,10.629181,29.333593,101.568344
0.6048219,-1.070574,5.118157,9.148975,10.537808,29.749311,101.814323
0.6073735,-1.113684,5.125342,8.957374,10.379979,30.350882,102.259216
0.6099031,-1.132844,5.187613,8.856783,10.326532,30.943752,102.318573
0.6124239,-1.185535,5.252278,8.667576,10.203861,31.849106,102.719543
0.6149580,-1.068179,5.204378,8.655601,10.156080,31.541885,101.598663
0.6174777,-1.120869,5.221143,8.396939,9.951144,32.454651,102.116295
0.6199852,-1.144819,5.154082,8.253238,9.797505,32.607536,102.523170
0.6224856,-1.116079,5.151687,8.102351,9.666106,33.047070,102.223846
0.6250058,-1.137634,5.237908,8.030500,9.654989,33.721470,102.253899
0.6274656,-1.163980,5.240303,7.817344,9.482958,34.476631,102.523262
0.6299375,-1.065784,5.249883,7.704778,9.384070,34.810097,101.475716
0.6324465,-1.080154,5.242698,7.752678,9.421074,34.623020,101.641754
0.6349661,-1.005908,5.173243,7.714358,9.342677,34.339283,101.003540
0.6375387,-0.972378,5.271438,7.580237,9.284049,35.266071,100.451385
0.6400568,-0.941243,5.204378,7.702383,9.343349,34.475266,100.251472
0.6425679,-1.072969,5.151687,7.613768,9.255301,34.650204,101.765099
0.6450951,-0.914898,5.199588,7.656878,9.300567,34.586514,99.979370
0.6476296,-1.025068,5.216353,7.618557,9.289969,34.906776,101.117561
0.6501441,-0.981958,5.113367,7.656878,9.259511,34.216331,100.870598
0.6526468,-0.936453,5.091812,7.678433,9.260768,33.989948,100.421013
0.6551533,-0.838257,5.139712,7.678433,9.277804,34.145672,99.263046
0.6576191,-1.020278,5.098997,7.807764,9.380934,33.664124,101.315109
0.6601394,-0.986748,5.142107,7.874825,9.456627,33.619709,100.862762
0.6626046,-0.948428,5.058281,7.896380,9.425420,33.094109,100.619659
0.6651115,-1.008303,5.142107,8.037686,9.594913,33.101658,101.094231
0.6676226,-1.060994,5.166058,8.131092,9.691672,32.967728,101.605896
0.6702009,-1.152004,5.252278,8.188572,9.796236,33.291412,102.371033
0.6727598,-1.243015,5.209167,8.346643,9.917004,32.685265,103.420982
0.6752802,-1.365161,5.388794,8.291558,9.982620,33.839642,104.215851
0.6777874,-1.470542,5.453460,8.420889,10.139729,33.851448,105.091049
0.6803138,-1.460962,5.443880,8.425679,10.137175,33.781254,105.022377
0.6828356,-1.487307,5.417534,8.511900,10.198735,33.425426,105.351524
0.6853520,-1.523232,5.443880,8.588540,10.281979,33.352879,105.631958
0.6878706,-1.501677,5.372029,8.566985,10.222865,33.068172,105.617607
0.6903841,-1.542393,5.455855,8.686736,10.373269,33.131805,105.785812
0.6929045,-1.492097,5.278623,8.832832,10.397554,31.841526,105.783897
0.6953692,-1.496887,5.261858,8.832832,10.389743,31.772091,105.879929
0.6978814,-1.355581,5.228328,8.873548,10.388111,31.328291,104.535370
0.7003856,-1.365161,5.273833,8.856783,10.398057,31.594973,104.512779
0.7029333,-1.357976,5.218748,8.933423,10.434820,31.116682,104.585548
0.7055104,-1.346001,5.173243,8.741821,10.246638,31.445101,104.584152
0.7080457,-1.276545,5.199588,8.708291,10.222506,31.583870,103.793808
0.7105852,-1.324446,5.106182,8.607700,10.095531,31.501688,104.540985
0.7131118,-1.231040,5.060677,8.590936,10.046396,31.226334,103.671997
0.7156428,-1.053809,5.166058,8.526270,10.024766,31.731661,101.529419
0.7181615,-0.960403,5.043911,8.447234,9.885301,31.292730,100.780548
0.7206305,-0.862207,5.053492,8.377779,9.821831,31.463230,99.682350
0.7231508,-0.799937,5.091812,8.449629,9.897610,31.383150,98.928337
0.7256176,-0.653840,5.048701,8.317904,9.752149,31.468163,97.379112
0.7281249,-0.517324,4.962481,8.291558,9.676971,31.037060,95.951424
0.7306334,-0.428709,4.969666,8.317904,9.698911,30.950480,94.930420
0.7331378,-0.308958,4.902605,8.231683,9.586010,30.827019,93.605957
0.7356619,-0.325723,4.837940,8.212523,9.537153,30.558741,93.851723
0.7382356,-0.253872,4.912185,8.241262,9.597522,30.830578,92.958534
0.7407723,-0.191602,4.806804,8.169412,9.480578,30.492035,92.282631
0.7433134,-0.158071,4.802014,8.123906,9.438335,30.600784,91.885368
0.7458504,-0.114961,4.854705,8.135881,9.474911,30.831717,91.356529
0.7483612,-0.114961,4.861890,7.980206,9.345313,31.358721,91.354523
0.7508824,-0.074246,4.837940,7.898775,9.262927,31.490164,90.879219
0.7533928,-0.064666,4.761299,7.850874,9.182068,31.237780,90.778114
0.7559230,0.043110,4.842730,7.853270,9.226469,31.661133,89.489960
0.7584434,0.002395,4.845125,7.719148,9.113752,32.115505,89.971680
0.7609637,0.019160,4.857100,7.496411,8.932411,32.940346,89.773979
0.7634869,0.047900,4.842730,7.517967,8.942827,32.789059,89.433296
0.7660228,0.093406,4.919370,7.352710,8.847105,33.789482,88.912239
0.7686089,-0.026345,4.969666,7.295230,8.827154,34.263897,90.303734
0.7711813,-0.047900,4.984036,7.117998,8.689580,35.001022,90.550636
0.7737448,0.007185,5.063072,7.046148,8.676575,35.699493,89.918694
0.7762812,0.055085,5.060677,6.885682,8.545530,36.315884,89.376358
0.7788210,-0.057480,5.106182,6.718030,8.438502,37.239170,90.644951
0.7813451,-0.002395,5.185217,6.701265,8.473101,37.731525,90.026466
0.7838091,-0.052690,5.233118,6.607859,8.429241,38.379005,90.576874
0.7863295,-0.110171,5.249883,6.514453,8.367289,38.870892,91.202202
0.7887982,-0.177231,5.252278,6.466553,8.332715,39.100224,91.932640
0.7913213,-0.198787,5.314548,6.303692,8.247453,40.153481,92.142105
0.7938541,-0.122146,5.283413,6.258186,8.191110,40.179955,91.324371
0.7963707,-0.222737,5.345684,6.112090,8.123029,41.197834,92.385941
0.7988982,-0.196392,5.343289,6.150411,8.149653,41.002258,92.104950
0.8014274,-0.229922,5.338499,6.023474,8.051998,41.576359,92.466125
0.8039495,-0.244292,5.482200,6.100115,8.205217,41.974426,92.551468
0.8064705,-0.270637,5.549261,5.968389,8.154091,42.949856,92.792099
0.8089794,-0.285007,5.465435,6.061795,8.166858,42.077145,92.985115
0.8114359,-0.294587,5.534890,6.011499,8.176791,42.676685,93.046623
0.8139563,-0.340093,5.589976,6.088140,8.272179,42.610092,93.481567
0.8164271,-0.524509,5.568420,6.059400,8.246135,42.708248,95.381020
0.8189475,-0.407153,5.599556,6.080955,8.276402,42.715240,94.158752
0.8214506,-0.304167,5.599556,6.119275,8.300184,42.502686,93.109245
0.8239689,-0.335303,5.623506,6.174361,8.358169,42.377361,93.412231
0.8264961,-0.356858,5.623506,6.212681,8.387405,42.207603,93.631020
0.8290156,-0.347278,5.525311,6.289321,8.378856,41.356049,93.596436
0.8315969,-0.275427,5.606741,6.456973,8.555928,41.002735,92.812355
0.8341693,-0.277822,5.506150,6.497688,8.521433,40.313911,92.888504
0.8366882,-0.325723,5.527705,6.598279,8.613878,40.003464,93.372284
0.8391962,-0.273032,5.403164,6.765931,8.662941,38.645935,92.892807
0.8416595,-0.373623,5.422325,6.983877,8.849618,37.891731,93.941711
0.8441647,-0.414338,5.479805,7.098838,8.977386,37.744648,94.324013
0.8466680,-0.292192,5.410349,7.264094,9.062247,36.718987,93.091324
0.8491591,-0.313748,5.549261,7.460486,9.303310,36.686417,93.235977
0.8516875,-0.421523,5.520520,7.597003,9.400440,36.084045,94.366386
0.8541918,-0.479004,5.467830,7.807764,9.543992,35.106792,95.006561
0.8567655,-0.464634,5.451065,8.035291,9.720900,34.249008,94.871956
0.8593408,-0.519719,5.558841,8.087981,9.827830,34.617073,95.341293
0.8618814,-0.541274,5.479805,8.188572,9.867825,33.919186,95.641159
0.8644049,-0.490979,5.441484,8.337064,9.967820,33.238323,95.155769
0.8669182,-0.567620,5.465435,8.440049,10.071127,33.065838,95.929268
0.8694522,-0.620310,5.448669,8.566985,10.171824,32.623962,96.494942
0.8718662,-0.661025,5.436695,8.828042,10.388885,31.814600,96.932335
0.8743867,-0.531694,5.417534,8.840017,10.381632,31.624197,95.605240
0.8768933,-0.570015,5.460645,9.048384,10.583799,31.248249,95.959290
0.8794255,-0.598755,5.496570,9.280701,10.802879,30.784868,96.216858
0.8819586,-0.548459,5.460645,9.532178,10.999176,29.931040,95.735474
0.8845375,-0.617915,5.544470,9.690249,11.181409,29.929569,96.359207
0.8870666,-0.625100,5.534890,9.855506,11.320634,29.474007,96.443573
0.8896071,-0.668211,5.467830,10.039923,11.451799,28.751833,96.967430
0.8921472,-0.622705,5.515730,10.128538,11.549820,28.724188,96.441200
0.8946571,-0.701741,5.630691,10.372830,11.823398,28.679987,97.104019
0.8971947,-0.768801,5.580396,10.595567,11.999913,27.997232,97.844162
0.8997136,-0.740061,5.568420,10.669812,12.058187,27.765654,97.570427
0.9022436,-0.661025,5.601951,10.741663,12.132689,27.705511,96.729736
0.9047740,-0.696951,5.446275,10.933265,12.234538,26.665806,97.292412
0.9073024,-0.663420,5.542076,10.866204,12.215938,27.188206,96.826172
0.9098341,-0.634680,5.484595,10.878180,12.199114,26.909967,96.600937
0.9123534,-0.605940,5.415139,11.000325,12.275914,26.351206,96.384689
0.9149399,-0.610730,5.530100,11.053016,12.374334,26.719168,96.302063
0.9174736,-0.553250,5.522915,10.990746,12.312805,26.794737,95.720436
0.9199823,-0.617915,5.518125,11.019485,12.339392,26.743099,96.389320
0.9224926,-0.459844,5.508545,10.973980,12.287545,26.734863,94.771889
0.9250159,-0.538879,5.453460,11.057806,12.341219,26.362061,95.643318
0.9275368,-0.419128,5.554050,10.969190,12.302287,26.920168,94.315567
0.9300242,-0.390388,5.551655,10.945240,12.278907,26.952126,94.022377
0.9324998,-0.419128,5.489385,10.911710,12.221883,26.772636,94.366203
0.9350201,-0.435894,5.520520,10.806329,12.142606,27.132858,94.514641
